"","geo_entity_name"
"1","Kingsbridge - Riverdale"
"2","Northeast Bronx"
"3","Fordham - Bronx Pk"
"4","Pelham - Throgs Neck"
"5","Crotona -Tremont"
"6","High Bridge - Morrisania"
"7","Hunts Point - Mott Haven"
"8","Greenpoint"
"9","Downtown - Heights - Slope"
"10","Bedford Stuyvesant - Crown Heights"
"11","East New York"
"12","Sunset Park"
"13","Borough Park"
"14","East Flatbush - Flatbush"
"15","Canarsie - Flatlands"
"16","Bensonhurst - Bay Ridge"
"17","Coney Island - Sheepshead Bay"
"18","Williamsburg - Bushwick"
"19","Washington Heights"
"20","Central Harlem - Morningside Heights"
"21","East Harlem"
"22","Upper West Side"
"23","Upper East Side"
"24","Chelsea - Clinton"
"25","Gramercy Park - Murray Hill"
"26","Greenwich Village - SoHo"
"27","Union Square - Lower East Side"
"28","Lower Manhattan"
"29","Long Island City - Astoria"
"30","West Queens"
"31","Flushing - Clearview"
"32","Bayside - Little Neck"
"33","Ridgewood - Forest Hills"
"34","Fresh Meadows"
"35","Southwest Queens"
"36","Jamaica"
"37","Southeast Queens"
"38","Rockaways"
"39","Port Richmond"
"40","Stapleton - St. George"
"41","Willowbrook"
"42","South Beach - Tottenville"
"43",""
